animal,pronoun,response,age,gender
dog,he,", he was filled with a sense of clarity of purpose never achieved in the canine world. 

He realized the river wasn't a river at all but a mesh network in which he had been living or maybe trapped. 

This sensation of mental clarity around one's place in the 'dogsmic' universe laid bare all the eariler notions about his being and he loudly stated, ""I dog, therefore I am"" and licked himself.
 ",40s,male
rabbit,she,"she looked across the water and wondered if she could jump to the opposite bank. She decided she could not, so she hailed a cab instead.",30s,female
dog,it,"it didn't do what dogs usually do. Instead the little fluffy ball sniffed the water and turned away again. ""I guess that was a false lead"", the dog barked.",20s,male
pig,he,"The pig searched for his friend, the frog. But the frog was nowhere to be seen. The pig then embarked on a long journey along the river bank searching for him. ",30s,male
cat,,"the cat started pacing up and down the body of water. There was no way to cross without getting wet, and the cat was loath to do that. There had to be another way to get across.",30s,non-binary
dog,he,the dog sat with his person and watched the river go by,,
mouse,he,he unzipped his jeans and relieved himself. The sigh of relief echoed throughout the woods.,,female
bird,he,he found a beautiful stream glistering in the sun light. It was a quiet day and he listened to the sound of the woods around him. He absentmindedly took a couple of sips of water.,20s,male
bird,it,it collected materials from the river bank and retreated back to its nest.,20s,female
dog,he,"Upon arriving, he wondered, “What happened to my river?” Once crystal clear, it had shrunk to a trickle, filled with rocks and debris. He drank what he could but had to walk miles to find a pool to bathe in.",30s,female
pig,they,"the pig realized they had forgotten their favorite Harry Styles bathing suit. Devastated, they realized it was not the right time for a dip.",,
dog,he,he barked three times and scared a squirrel. He then invited the squirrel on his back for a free ferry-ride to the other side of the river. They kept in contact ever since.,20s,female
bear,they,"the bear picked up the gun they had stashed underneath the rock nearby. The troops were fast approaching and they had only moments to spare. If any of the front line made it past the river, the rest of the platoon was done for - this bottleneck was the bear's last stand.",30s,male
bird,it,"the bird took out a fishing pole, a six pack of Beak Brand Beer, ate all the worms it had brought for bait, and had a lazy afternoon. ",30s,male
bird,,"the bird found the river dry. No water, not other birds, no other animals. Just dust.",40s,female
mouse,,"the mouse said, ""gee, I really did need a bath. Minnie was right!""",20s,male
rabbit,he,he jumped in,30s,male
bear,,the bear saw a polluted river filled with trash such as empty styrofoam cups and plastic food wrap.,,
bird,it,"the bird dipped its beak into the river and pulled out a ring. It brought the ring back to the adventurer and said ""This is a magic ring. You will need it on your quest.""",40s,female
bird,,"the bird began to look for its quarry, that was to be near the river.  ",30s,male
pig,it,"the pig promptly hopped aboard its sturdy ship, untethered the vessel, and floated south with the current.",30s,male
bear,,the bear found several college students chilling by the river because of spring break. The bear hates people so the bear walked away to go to a different river.,20s,female
cat,she,She chanted the magic spell given by the fairy piggy goddess to find the paw-fect recipe for deceiving a human. She got a bit distracted by the delicacy of the exotic fishes and messed up the magic...and ended up being a catfish.,,
mouse,it,The mouse finished eating its cheese,20s,female
cat,it,"the cat remarked, “Wow! this river is awesome!” It spent the rest of the day there, having a wonderful picnic lunch of tinned sardines.",20s,female
cat,he,"he took out a small straw, and slowly, but surey, drank all the water of the river.  Until there was just a giant round-shaped cat taking over the horizon.",40s,male
bear,,the bear waded into the water to catch some fish.,,
bear,,the bear ate a salmone.,,
pig,,"the river was flowing faster and stronger than usual. It was swollen with spring melt. And then the pig said, “I must make a raft to cross the river. “ ",30s,female
mouse,he,"the mouse looked out at the Mississippi and saw the fast current. He crawled closer to the shore line and saw his own reflection in the moving water, like a blurred mirage of himself, his father, and all his ancestors, but with his own eyes. He wondered, could Great River ever give me him their courage, their wisdom?",30s,non-binary
bird,he,He found his brothers and sisters. “At last! I have been reunited with my family!”,20s,female
pig,it,The people at the river realized the pig could talk and asked it to come across with the wolf and the sheep and the broccoli so they could get to know it further.,u20,female
rabbit,he,"he took off his clothes and jumped in. ""Wow,"" he thought, ""being in the river sure feels nice!""",,
rabbit,he,"the rabbit searched the river banks for his friend, the rat.",,
mouse,she,"the mouse viewed the coursing river from the bank and planned her escape. She looked around to find what might help and landed on some thick, sturdy grass near the edge of the riverbank. Thinking quickly, the mouse braided the dry tusks into a bridge and, using some rocks to stabilise it, ran across the plaited grass bridge to safety.",,
dog,he,"the dog wagged its tail, charged into the water and asked for his owner to throw him a stick.",30s,male
dog,he,"The dog said, “I must go to the river.” He arrived and peed in the river and laughed at the river; powerless, impotent.",30s,male
dog,it,"it saw the house where its grandpa once live. It looked around the house slowly for hours. At the end it laid down at the front porch where its grandpa probably once laid, bathed in the orange rays of the setting sun.",30s,female
bear,,the bear started to fish.,30s,male
mouse,he,"He found a lonely snail, stuck on a rock in the middle of the river. Help! Cried the snail, pleading for the mouse to swim him to shore. The mouse had always wanted to be a hero, and today was his chance. ",30s,male
cat,he,"he boarded the St. Louis riverboat casino, a gateway to his crippling gambling addiction. After betting his life savings on the roulette table, the cat watched as the wheel spun, and his future tumbled into chaos he could no longer control.",30s,female
